All,Semua
"Missing search engine parameter.","Parameter mesin pencari hilang."
"Successful! Test again?","Sukses! Menguji lagi?"
"Connection failed! Test again?","Koneksi gagal! Menguji lagi?"
"Enable Search Recommendations","Aktifkan Rekomendasi Pencarian"
"When you enable this option your site may slow down.","Bila Anda mengaktifkan opsi ini situs Anda menjadi lambat."
"Search Recommendations Count","Jumlah Rekomendasi Pencarian"
"Show Results Count for Each Recommendation","Tampilkan Jumlah Hasil untuk Setiap Rekomendasi"
"Enable Search Suggestions","Aktifkan Saran Pencarian"
"Search Suggestions Count","Jumlah Saran Pencarian"
"Show Results Count for Each Suggestion","Tampilkan Jumlah Hasil untuk Setiap Saran"
"Related search terms","Istilah pencarian terkait"
"Did you mean","Apakah yang kamu maksud"
"Search Query","Parameter Pencarian"
Store,Toko
Results,Hasil
Uses,Kegunaan
"Redirect URL","Alihkan URL"
"Suggested Term","Istilah Disarankan"
Yes,Ya
"RPC call failed, connection timed out after %time_out.","Gagal memanggil RPC, koneksi timed out setelah% timeout."
"Message has been rejected: %1","Pesan telah ditolak:%1"
"Error while checking if topic is synchronous","Kesalahan saat memeriksa apakah topik ini sinkron"
"Subscription status","Status langganan"
"Sorry, there has been an error processing your request. Please try again later.","Maaf, telah terjadi kesalahan saat memproses permintaan Anda. Silakan coba lagi nanti."
"Cron settings can't be saved","Setelan cron tidak dapat disimpan"
"There was an error save new configuration value.","Terjadi kesalahan saat menyimpan nilai konfigurasi baru."
"--Please Select--","--Silahkan pilih--"
"These arguments can't be empty ""%1""","Argumen ini tidak boleh kosong ""%1"""
"Cannot find predefined integration user!","Tidak dapat menemukan pengguna integrasi yang telah ditentukan sebelumnya!"
"File is not ready yet.","File belum siap."
"Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.","URL Base Anda telah diubah dan laporan Anda sedang diperbarui. Pelaporan Lanjutan akan tersedia setelah perubahan ini diproses. Silakan coba lagi nanti."
TestMessage,TesPesan
"Apps and Games","Aplikasi Dan Game"
"Athletic/Sporting Goods","Barang olahraga/atletik"
"Art and Design","Seni Dan Desain"
"Advanced Reporting","Pelaporan Lanjutan"
"Gain new insights and take command of your business' performance, using our dynamic product, order, and customer reports tailored to your customer data.","Dapatkan wawasan baru dan ambil kendali kinerja bisnis Anda, dengan menggunakan laporan produk, pesanan, dan pelanggan dinamis kami yang disesuaikan dengan data pelanggan Anda."
"Go to Advanced Reporting","Buka Pelaporan Lanjutan"
Analytics,Analistik
Configuration,Konfigurasi
"Business Intelligence","Intelijen Bisnis"
"BI Essentials","BI Penting"
"Advanced Reporting Service","Layanan Pelaporan Lanjutan"
"Time of day to send data","Waktu hari untuk mengirim data"
Industry,Industri
"In order to personalize your Advanced Reporting experience, please select your industry.","Untuk mempersonalisasi pengalaman Pelaporan Lanjutan Anda, pilih industri Anda."
"Auto Parts","Bagian otomatis"
"Baby/Children’s Apparel, Gear and Toys","Perlengkapan Bayi/Anak, Gear dan Mainan"
"Beauty and Cosmetics","Kecantikan dan Kosmetik"
"Books, Music and Magazines","Buku, Musik dan Majalah"
"Crafts and Stationery","Kerajinan Tangan dan Alat Tulis"
"Consumer Electronics","Elektronik Konsumen"
"Deal Site","Situs kesepakatan"
"Fashion Apparel and Accessories","Pakaian dan Aksesoris Fashion"
"Food, Beverage and Grocery","Makanan, Minuman dan Kelontong"
"Home Goods and Furniture","Barang rumah dan perabot"
"Home Improvement","Perbaikan rumah"
"Jewelry and Watches","Perhiasan dan Jam"
"Office Supplies","Peralatan Kantor"
"Pet Goods","Barang hewan"
"Pharma and Medical Devices","Pharma dan Alat Kesehatan"
"Technology B2B","Teknologi B2B"
Done,Selesai
Retry,"Coba Lagi"
"'Action Details - #' .","'Detil Aksi - #' ."
"%1 item(s) have been scheduled for update.""","%1 item(s) telah dijadwalkan untuk diperbarui. """
"Bulk Actions Log","Bulk Kunci Aksi"
"%1 item(s) are currently being updated.","%1 item(s) sedang diperbarui."
"Task ""%1"": ","Tugas ""%1"": "
"%1 item(s) have been scheduled for update.","%1(s) item telah dijadwalkan untuk diperbarui."
"%1 item(s) have been successfully updated.","%1 item(s) Sukses Diperbarui."
"%1 item(s) failed to update","%1 item(s) Gagal Diperbarui"
Details,Rincian
"View Details","Lihat Detil"
Dismiss,Memberhentikan
"Pending, in queue...","Menunggu Keputusan, Dalam Antrian..."
"%1 items selected for mass update","%1Item Dipilih Untuk Pembaruan Massal"
", %1 successfully updated","%1Pembaruan Sukses"
", %1 failed to update","%1 Gagal Untuk Perbarui"
"Something went wrong.","Ada yang salah."
"Action Log","Tindakan Log"
"Bulk Actions","Bulk Aksi"
"Days Saved in Log","Hari Tersimpan Di Log"
"Description of Operation","Deskripsi Operasi"
Summary,Ringkasan
"Start Time","Waktu mulai"
"Items to Retry","Item Untuk Dicoba Lagi"
"To retry, select the items and click “Retry”.","Untuk Ulang, Pilih Item Dan Klik ""Ulang""."
"Items That Can’t Be Updated.","Item itu Tidak Bisa Diperbarui."
Status,Keadaan
"Meta Information","Meta Informasi"
Error,Kesalahan
"Dismiss All Completed Tasks","Matikan Semua Tugas Selesai"
"Action Details - #","Detil Aksi - #"
"Number of Records Affected","Jumlah Rekaman yang Terkena"
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.","Terjadi kesalahan saat menyusun daftar sumber daya diperbolehkan. Anda dapat mengetahui lebih lanjut dalam log pengecualian."
"You created the order.","Anda membuat pesanan."
"Order saving error: %1","Kesalahan penyimpanan Pesanan: %1"
"Please choose a payment method.","Silahkan pilih metode pembayaran."
"An error occurred on the server. Please try to place the order again.","Terjadi kesalahan pada server. Silakan mencoba untuk memesan kembali."
"Credit Card: xxxx-%1","Kartu Kredit: xxxx-%1"
"amount %1","jumlah% 1"
failed.,gagal.
successful.,sukses.
"Authorize.Net Transaction ID %1.","Authorize.Net ID Transaksi% 1."
authorize,izinkan
"authorize and capture","izinkan dan tangkap"
capture,tangkap
refund,"pengembalian dana"
void,kosong
"Something went wrong in the payment gateway.","Ada yang tidak beres di gateway pembayaran."
"Invalid amount for capture.","Jumlah tidak valid untuk ditangkap."
"Payment capturing error.","Kesalahan Pembayaran ditangkap."
"Invalid transaction ID.","Transaksi ID tidak valid."
"Payment voiding error.","Membatalkan pembayaran error."
"Invalid amount for refund.","Jumlah pengembalian dana tidak valid."
"Payment refunding error.","Pengembalian uang pembayaran error."
"The transaction was declined because the response hash validation failed.","Transaksi ditolak karena respon pengesahan gagal."
"There was a payment authorization error.","Terjadi kesalahan otorisasi pembayaran."
"Please enter a transaction ID to authorize this payment.","Masukkan ID transaksi untuk mengotorisasi pembayaran ini."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaksi% 1 telah disetujui. Jumlah% 2. status transaksi adalah ""% 3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaksi% 1 telah dibatalkan / ditolak. status transaksi adalah ""% 2"". Jumlah% 3."
"Authorize Only","Hanya otorisasi"
"Authorize and Capture","Otorisasi dan Tangkapan"
"Unable to get transaction details. Try again later.","Tidak dapat mendapatkan rincian transaksi. Coba lagi nanti."
"Electronic payments save the trees.","Pembayaran elektronik menyelamatkan pepohonan."
"Credit Card Type","Tipe Kartu Kredit"
"Please Select","Silahkan pilih"
"Credit Card Number","Nomor Kartu Kredit"
"Expiration Date","Tanggal kadaluarsa"
"Card Verification Number","Nomor Verifikasi Kartu"
"Fraud Detection ","Deteksi penipuan "
"FDS Filter Action","Tindakan Menyaring FDS"
"AVS Response","Tanggapan AVS"
"Card Code Response","Kode Kartu Tanggapan"
"CAVV Response","Tanggapan CAVV"
"Fraud Filters","Penyaringan Penipuan"
"Place Order","Tempat Pesanan"
"Sorry, but something went wrong. Please contact the seller.","Maaf, tapi ada yang tidak beres. Silahkan hubungi penjualnya."
"Authorize.net Direct Post","Authorize.net Posting langsung"
Enabled,Diaktifkan
"Payment Action","Tindakan Pembayaran"
Title,Judul
"Transaction Key","Kunci Transaksi"
"Merchant MD5","Penjual MD5"
"New Order Status","Status Pesanan Baru"
"Test Mode","Mode Uji"
"Gateway URL","Pintu Masuk URL"
"Transaction Details URL","Transaksi Detail URL"
"Accepted Currency","Mata uang yang diterima"
Debug,Menulusuri
"Email Customer","Email pelanggan"
"Merchant's Email","Email Penjual"
"Credit Card Types","Tipe Kartu Kredit"
"Credit Card Verification","Verivikasi Kartu Kredit"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara-Negara tertentu"
"Minimum Order Total","Total Pesanan minimum"
"Maximum Order Total","Total Pesanan Maksimal"
"Sort Order",Urutan
"Unable to place order. Please try again later.","Tidak dapat menempatkan pesanan. Silakan coba lagi nanti."
Environment,"Lingkungan Hidup"
"Transaction has been declined. Please try again later.","Transaksi telah ditolak. Silakan coba lagi nanti."
"Select all","Pilih Semua"
"Invalid Form Key. Please refresh the page.","Formulir Kunci tidak benar. Tolong refresh halaman."
"You entered an invalid Secret Key. Please refresh the page.","Anda memasukkan Kunci Rahasia yang tidak valid. Segarkan laman."
"Cache Storage Management","Manajemen Penyimpanan Cache"
"Flush Magento Cache","Bersihkan Cache Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Penyimpanan cache yang mungkin berisi data tambahan. Apakah Anda yakin bahwa Anda ingin membersihkan itu?"
"Flush Cache Storage","Bersihkan Cache Penyimpanan"
Invalidated,Batal
Orders,Pesanan
Amounts,Jumlah
Bestsellers,"Penjualan terbaik"
"Most Viewed Products","Produk Terpopuler"
"New Customers","Pelanggan baru"
Customer,Pelanggan
Guest,Tamu
Items,Barang
Total,Jumlah
"Lifetime Sales","Penjualan Seumur Hidup"
"Average Order","Pesanan Rata-Rata"
Average,Rata-rata
Views,Tampilan
Revenue,Pendapatan
Tax,Pajak
Shipping,Pengiriman
"Images (.gif, .jpg, .png)","Gambar (.gif, .jpg, .png)"
"All Files","Semua Berkas"
"Reset to Default","Ulang ke Default"
"All Store Views","Semua Tampilan Store"
"What is this?","Apakah ini?"
"Save Account","Simpan Akun"
"My Account","Akun Saya"
"Account Information","Informasi Akun"
"User Name","Nama Pengguna"
"First Name","Nama Depan"
"Last Name","Nama Belakang"
"User Email","Email Pengguna"
"New Password","Kata sandi baru"
"Password Confirmation","Konfirmasi Kata Sandi"
"Interface Locale","Antarmuka Lokal"
"Current User Identity Verification","Verifikasi Identitas Pengguna"
"Your Password","Kata Sandi Anda"
"Save Cache Settings","Simpan Pengaturan Cache"
"Catalog Rewrites","Tulis Ulang Katalog"
Refresh,Segarkan
"Images Cache","Cache Gambar"
Clear,Hapus
"Search Index","Pencarian indeks"
Rebuild,"Bangun ulang"
"Inventory Stock Status","Status persediaan"
"Rebuild Catalog Index","Bangun Ulang Indeks Katalog"
"Rebuild Flat Catalog Category","Membangun kembali Katalog Kategori"
"Rebuild Flat Catalog Product","Membangun kembali Katalog Produk"
"Cache Control","Cache Kontrol"
"All Cache","Semua Cache"
"No change","Tidak berubah"
Disable,Dinonaktifkan
Enable,Aktifkan
"Add Design Change","Tambahkan Desain Perubahan"
Delete,Hapus
Save,Simpan
"Edit Design Change","Ubah Desain Perubahan"
"New Store Design Change","Perubahan Desain Toko Baru"
"General Settings","Pengaturan Umum"
"-- Please Select --","-- Tolong Pilih --"
"Custom Design","Kustom Desain"
"Date From","Dari Tanggal"
"Date To","Ke Tanggal"
"Design Change","Desain Perubahan"
General,Umum
"Delete %1 '%2'","Hapus %1'%2'"
"Delete %1","Hapus %1"
"Block Information","Informasi Blok"
"Backup Options","Pilihan Backup"
"Create DB Backup","Buat DB Backup"
"Delete Store","Hapus Toko"
"Delete Web Site","Hapus Situs Web"
"Save Web Site","Simpan Situs Web"
"Save Store","Simpan Toko"
"Save Store View","Simpan Tampilan Toko"
"Delete Store View","Hapus Tampilan Toko"
"Edit Web Site","Ubah Situs Web"
"New Web Site","Situs Web Baru"
"Edit Store","Ubah Toko"
"New Store","Toko Baru"
"Edit Store View","Ubah Tampilan Toko"
"New Store View","Tampilan Toko Baru"
"Store Information","Informasi Toko"
"Web Site","Situs Web"
Name,Nama
Code,Kode
"Root Category","Kategori Root"
"Default Store View","Tampilan Toko Default"
"Store View Information","Lihat Informasi Toko"
Disabled,Matikan
"Web Site Information","Informasi Situs Web"
"Default Store","Toko Default"
"Set as Default","Ditetapkan sebagai default"
Stores,Toko
"Create Website","Buat Situs Web"
"Create Store","Buat Toko"
"Create Store View","Buat Pandangan Toko"
Home,Beranda
"Are you sure you want to do this?","Apakah anda yakin ingin melakukan ini?"
"Add New Image","Tambahkan Gambar Baru"
"Export block for grid %1 is not defined","Blok ekspor untuk kisi-kisi% 1 tidak didefinisikan"
"Reset Filter","Ulangi Penyaringan"
Search,Pencarian
Any,"Apa saja"
"All Countries","Semua Negara"
From,Dari
To,Ke
"Date selector","Tanggal pemilih"
"[ deleted ]","[ telah terhapus ]"
"Select All","Pilih Semua"
" [deleted]"," [Telah Terhapus]"
"We couldn't find any records.","Kami tidak bisa menemukan catatan apapun."
"Add New","Tambahkan Baru"
"Invalid export type supplied for grid export block","Jenis ekspor tidak valid diberikan untuk blok ekspor jaringan"
Export,Expor
"Please correct the column format and try again.","Harap perbaiki format kolom dan coba lagi."
Submit,Kirim
"Unknown block type","Jenis blook tidak diketahui"
"Please correct the tab configuration and try again. Tab Id should be not empty","Perbaiki label konfigurasi dan coba lagi. LabelId harus tidak kosong"
"Please correct the tab configuration and try again.","Perbaiki label konfigurasi dan coba lagi."
"You have logged out.","Anda telah keluar."
"The image cache was cleaned.","Cache gambar telah dibersihkan."
"An error occurred while clearing the image cache.","Terjadi kesalahan saat membersihkan cache gambar."
"The JavaScript/CSS cache has been cleaned.","Cache JavaScript/CSS telah dibersihkan."
"An error occurred while clearing the JavaScript/CSS cache.","Terjadi kesalahan saat membersihkan cache JavaScript/CSS."
"The static files cache has been cleaned.","Cache berkas statis telah dibersihkan."
"You flushed the cache storage.","Anda telah membersihkan cache penyimpanan."
"The Magento cache storage has been flushed.","Cache penyimpanan Magento telah dibersihkan."
"Cache Management","Cache manajemen"
"You can't change status of cache type(s) in production mode","Anda tidak dapat mengubah status tipe cache dalam mode produksi"
"%1 cache type(s) disabled.","%1 tipe cache diaktifkan."
"An error occurred while disabling cache.","Terjadi kesalahan saat menonaktifkan cache."
"%1 cache type(s) enabled.","%1 tipe cache diaktifkan."
"An error occurred while enabling cache.","Terjadi Kesalahan sementara dalam mengizinkan cache."
"%1 cache type(s) refreshed.","%1 tipe cache disegarkan."
"An error occurred while refreshing cache.","Terjadi kesalahan saat menyegarkan cache."
"We updated lifetime statistic.","Kami memperbarui statistik seumur hidup."
"invalid request","permintaan tidak valid"
"see error log for details","melihat log kesalahan untuk rincian"
"Service unavailable: %1","Layanan tidak tersedia:% 1"
"Access Denied.","Akses Menolak."
"You need more permissions to do this.","Anda perlu lebih izin untuk melakukan hal ini."
"No search modules were registered","Tidak ada modul pencarian yang terdaftar"
"Please make sure that all global admin search modules are installed and activated.","Pastikan bahwa semua modul pencarian admin global diinstal dan diaktifkan."
"You saved the account.","Anda menyimpan akun."
"An error occurred while saving account.","Terjadi kesalahan saat menyimpan akun."
"You deleted the design change.","Anda menghapus desain perubahan."
"You can't delete the design change.","Anda tidak dapat menghapus desain perubahan."
"Store Design","Desain Toko"
"Edit Store Design Change","Ubah Desain Perubahan Toko"
"You saved the design change.","Anda menyimpan desain perubahan."
System,Sistem
"Manage Stores","Kelola toko"
"The database was backed up.","Cadangkan database."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Menghapus% 1 tidak akan menghapus informasi yang terkait dengan% 1 (misalnya kategori, produk, dll), tetapi% 1 tidak akan bisa dipulihkan. Disarankan agar Anda membuat cadangan database sebelum menghapus% 1."
"Something went wrong. Please try again.","Ada yang salah. Silakan coba lagi."
"This store cannot be deleted.","Toko ini tidak dapat dihapus."
"You deleted the store.","Anda menghapus toko."
"Unable to delete the store. Please try again later.","Tidak dapat menghapus toko. Silakan coba lagi nanti."
"This store view cannot be deleted.","Tampilan toko tidak dapat dihapus."
"Store View","Tampilan toko"
"You deleted the store view.","Anda telah menghapus tampilan toko."
"Unable to delete the store view. Please try again later.","Tidak dapat menghapus tampilan toko. Silakan coba lagi nanti."
"This website cannot be deleted.","Situs Web ini tidak dapat dihapus."
"You deleted the website.","Anda telah menghapus situs web."
"Unable to delete the website. Please try again later.","Tidak dapat menghapus situs web. Silakan coba lagi nanti."
"The website does not exist.","Situs web tidak ada."
"Before modifying the website code please make sure it is not used in index.php.","Sebelum memodifikasi situs web pastikan kode itu tidak digunakan dalam index.php."
"The store does not exist","Toko tidak ada"
"Store view doesn't exist","Tampilan tidak ada"
"Before modifying the store view code please make sure it is not used in index.php.","Sebelum memodifikasi tampilan toko pastikan kode itu tidak digunakan dalam index.php."
"New ","Baru "
"All Stores","Semua Toko"
"You saved the website.","Anda telah menyimpan situs web."
"The default store cannot be disabled","Toko default tidak dapat dinonaktifkan"
"You saved the store view.","Anda telah menyimpan tampilan toko."
"An inactive store view cannot be saved as default store view","Tampilan toko yang tidak aktif tidak dapat disimpan sebagai tampilan toko standar"
"You saved the store.","Anda telah menyimpan toko."
"Something went wrong while saving. Please review the error log.","Ada yang salah saat menyimpan. Tinjau log kesalahan."
"Authentication storage is incorrect.","Penyimpanan otentikasi tidak benar."
